l1cordx,l2cordx,l3cordx,l1cordy,l2cordy,l3cordy,r1cordx,r2cordx,r3cordx,r1cordy,r2cordy,r3cordy,isSame,whichDirection,retentionDuration,l_words_word1,l_words_word2,l_words_word3,r_words_word1,r_words_word2,r_words_word3,subWord
905,907,898,503,563,605,1001,1020,1016,582,492,550,2,2,1.04897357124833,taste,watch,group,watch,taste,alarm,clean
903,925,918,507,556,604,1019,1017,1010,482,518,592,2,1,1.07845343764622,clean,alarm,taste,taste,alarm,clean,relax
926,917,909,559,474,604,1024,1023,995,603,530,493,1,2,0.948520677255934,relax,clean,taste,relax,watch,alarm,nan
917,912,915,595,480,548,1023,1013,997,606,563,500,2,1,0.925919395167508,group,clean,alarm,group,clean,alarm,taste
907,911,925,485,596,548,1014,1015,996,553,498,598,2,2,0.945013576425583,clean,alarm,watch,group,taste,relax,alarm
896,916,903,485,558,524,1016,997,1014,476,577,533,1,2,0.970002783800153,taste,alarm,watch,alarm,clean,relax,nan
917,893,895,574,516,482,1024,1001,1001,488,607,564,1,1,0.957416922629235,watch,taste,group,taste,watch,group,nan
914,919,919,501,597,562,1008,995,998,582,500,543,2,1,1.08549760143589,group,taste,watch,taste,group,watch,clean
895,924,905,487,592,533,1003,1009,1011,571,480,529,2,1,0.910262751363359,taste,watch,relax,alarm,group,taste,alarm
897,893,912,523,484,607,1015,1005,1025,578,510,542,2,1,1.01853335104128,taste,group,watch,watch,clean,taste,alarm
926,920,899,549,489,603,1004,1003,1014,474,512,561,1,1,0.932579780043546,group,clean,watch,alarm,taste,watch,nan
909,919,895,529,569,604,1015,1010,1017,475,520,563,2,2,1.06768115393461,taste,watch,alarm,alarm,group,clean,taste
893,926,898,484,607,571,995,1000,1002,569,512,600,2,1,0.933512186042254,group,relax,clean,taste,group,alarm,watch
895,900,921,548,492,586,1027,1025,1001,595,511,544,1,2,1.00044012308189,taste,relax,group,group,alarm,watch,nan
897,924,903,589,501,541,1001,1025,995,580,514,475,2,2,1.09986589580514,taste,alarm,group,alarm,group,watch,taste
923,914,906,559,602,498,1014,1014,1016,582,543,498,1,2,0.971081430253576,alarm,taste,relax,relax,group,clean,nan
908,896,915,595,549,499,1005,994,1011,591,480,545,1,1,0.909415541909767,taste,alarm,watch,group,alarm,watch,nan
912,902,920,509,542,592,1018,1024,1010,599,514,560,2,2,0.94273211702416,clean,relax,alarm,relax,alarm,taste,group
909,918,919,563,604,502,995,1017,1023,597,560,497,2,1,0.979567824820541,relax,clean,group,taste,alarm,group,taste
895,920,905,484,521,571,996,996,1026,557,476,512,2,2,0.966733636076059,alarm,relax,watch,relax,taste,group,alarm
923,896,899,475,579,546,1025,1027,1019,546,483,585,2,1,0.94592050639364,clean,alarm,taste,relax,clean,taste,watch
902,909,914,532,485,598,997,1004,1002,530,490,577,1,1,1.08722403550041,taste,group,watch,watch,alarm,relax,nan
902,900,893,482,547,605,1005,1021,1016,473,584,511,2,1,1.03663775694,taste,clean,alarm,clean,relax,watch,watch
913,924,902,483,569,533,1011,1009,1019,571,511,605,2,2,1.09242275914457,group,taste,watch,taste,alarm,watch,relax
909,904,914,522,566,600,1002,1013,1013,551,599,505,2,1,0.98759463552656,group,relax,watch,taste,group,watch,alarm
905,922,913,502,574,543,1012,1010,1021,587,534,481,2,1,1.08806733088418,clean,taste,watch,group,clean,watch,group
915,901,904,599,476,548,1020,1012,1025,606,540,572,2,2,0.901166864914474,taste,relax,clean,taste,clean,alarm,relax
924,922,926,593,495,530,1011,1000,1015,520,482,584,1,1,1.02206140601398,watch,relax,group,group,taste,alarm,nan
914,899,897,517,549,584,1025,1013,994,477,544,509,2,2,1.06021515139322,watch,group,clean,relax,alarm,taste,watch
902,918,917,525,556,603,999,999,1000,604,474,546,1,1,0.94659630668273,alarm,taste,relax,clean,taste,alarm,nan
900,894,898,576,528,480,1008,1009,995,596,551,492,2,2,1.0864937351842,group,relax,taste,taste,group,relax,watch
908,914,907,541,574,487,1003,1012,1025,473,593,505,1,1,1.05265255506675,clean,watch,relax,group,taste,alarm,nan
894,912,921,540,595,489,1014,1009,1010,564,518,600,1,2,1.06528990794054,alarm,clean,watch,watch,relax,taste,nan
922,905,905,527,571,601,995,1022,1020,516,551,594,1,2,1.01469271772097,group,clean,taste,relax,group,taste,nan
913,900,895,553,487,519,996,1027,1009,487,599,523,1,2,1.05851633282405,relax,group,clean,relax,watch,group,nan
900,919,911,486,536,568,1004,1026,1010,575,482,530,2,2,0.96580823916785,watch,relax,taste,watch,taste,alarm,clean
910,898,902,579,527,479,997,1019,1008,593,522,473,2,1,0.944692395225171,taste,watch,group,relax,clean,alarm,relax
895,909,897,582,477,529,999,1000,1024,575,530,490,1,2,0.962477268403851,group,watch,alarm,taste,group,clean,nan
922,893,916,599,562,502,1006,995,1023,587,536,474,2,2,1.01690469570571,clean,relax,watch,taste,relax,clean,group
908,899,909,596,524,477,995,1000,1015,602,550,500,1,2,1.0659828282043,clean,taste,group,alarm,taste,watch,nan
911,909,899,565,493,604,1017,1013,1003,600,493,563,1,1,0.958092498309454,watch,group,relax,alarm,relax,taste,nan
912,921,896,544,580,509,1015,1015,1003,537,477,602,1,1,0.980510878412625,group,alarm,clean,clean,alarm,taste,nan
916,897,900,513,589,480,999,1006,1002,516,578,473,2,1,1.07241145968663,relax,watch,taste,taste,clean,group,alarm
905,917,897,536,493,602,996,1015,1017,570,476,527,2,1,1.02294791004328,relax,clean,alarm,watch,taste,relax,watch
895,916,904,492,571,538,1007,1024,1020,554,606,483,1,2,1.09823755766596,taste,clean,alarm,relax,clean,taste,nan
908,894,925,487,562,601,1009,1002,1021,553,496,586,1,2,0.940739775037124,alarm,taste,watch,group,clean,alarm,nan
894,909,911,485,565,598,1000,1003,1021,512,590,559,1,1,1.06544181698933,group,taste,clean,relax,taste,alarm,nan
918,925,901,518,595,477,1023,998,1002,521,480,574,2,2,1.03517232379056,taste,clean,group,watch,group,clean,taste
894,897,907,539,606,572,1014,1011,1021,607,551,500,2,1,0.949789894007962,clean,alarm,taste,watch,alarm,group,relax
925,918,915,488,551,590,994,1021,1015,576,607,516,2,2,0.995157125313907,clean,taste,group,clean,alarm,watch,taste
918,914,911,505,539,581,1024,1004,1001,564,606,532,1,2,0.979815045345358,taste,alarm,group,group,alarm,watch,nan
924,913,913,529,595,485,1009,1020,1006,535,581,488,2,1,1.01988764981828,group,alarm,relax,alarm,clean,group,watch
910,910,922,567,505,602,996,1008,1009,500,592,532,2,2,1.06010455316077,alarm,group,relax,alarm,watch,relax,group
901,912,906,487,561,606,997,1012,1010,532,565,488,1,1,0.921013754258234,watch,clean,relax,watch,taste,alarm,nan
901,907,918,599,550,483,1027,1027,1012,562,595,523,1,2,1.06428843882528,relax,taste,group,taste,watch,relax,nan
918,895,898,528,497,607,1023,1017,1005,486,590,556,1,2,1.06821726600908,watch,alarm,group,alarm,taste,clean,nan
926,903,895,535,485,603,1014,1026,1003,596,508,474,2,2,0.970901248880088,alarm,clean,relax,relax,taste,alarm,clean
905,912,904,560,605,486,995,997,1017,597,563,489,1,2,0.986013892523167,relax,taste,alarm,watch,relax,clean,nan
918,914,920,588,555,488,1004,1024,1025,602,533,494,2,2,1.01444784368254,watch,taste,clean,watch,clean,alarm,relax
896,924,905,579,490,543,1009,996,1014,494,572,532,1,2,1.04016494615425,alarm,taste,group,alarm,taste,clean,nan
913,926,925,594,487,558,997,998,1014,542,586,511,2,1,1.04849395139746,watch,alarm,relax,taste,alarm,group,taste
907,896,913,483,528,569,1013,1015,1018,490,565,599,1,1,1.05157683012416,alarm,group,clean,relax,group,alarm,nan
917,915,904,522,591,553,1005,1006,1006,607,529,483,2,1,0.977825752713845,watch,group,taste,clean,watch,alarm,clean
902,913,924,547,497,589,1009,1004,1009,607,541,500,2,1,0.985860496999968,taste,clean,alarm,clean,alarm,watch,relax
896,909,923,516,547,584,1013,1020,1011,535,606,478,2,1,1.09126893150013,watch,clean,group,taste,clean,relax,alarm
908,905,921,581,476,523,996,1004,1025,490,534,581,2,2,1.0145942734541,clean,relax,group,alarm,watch,clean,group
914,909,901,575,477,509,996,1014,1009,519,555,599,2,2,1.06994441084373,relax,taste,group,watch,alarm,taste,relax
897,915,902,607,533,493,1004,1009,1015,500,592,556,1,1,0.955269063259645,watch,alarm,clean,group,watch,clean,nan
908,925,919,599,531,494,1011,1003,1009,585,509,543,1,1,1.02446472303049,taste,alarm,group,clean,watch,group,nan
915,896,916,514,564,599,1013,1022,1012,474,573,603,1,2,1.01767233692271,taste,watch,clean,watch,taste,group,nan
921,920,909,477,589,531,1002,1013,995,604,562,529,2,2,1.0926936931614,clean,alarm,group,clean,alarm,taste,watch
903,913,925,565,510,476,1024,996,1021,474,522,566,1,2,0.91718053899345,clean,alarm,taste,clean,watch,relax,nan
906,923,909,476,566,602,1021,1003,1016,552,586,478,2,2,1.00009977832079,relax,group,alarm,group,relax,taste,clean
922,896,926,480,558,602,1009,999,1000,487,575,526,1,2,1.00431793529961,relax,clean,alarm,watch,group,alarm,nan
916,903,909,569,600,484,1027,1012,994,481,559,595,2,1,0.918033200433793,relax,alarm,watch,clean,alarm,group,clean
901,894,910,510,553,584,1013,1000,1019,512,582,549,1,2,1.08093329593803,alarm,clean,taste,alarm,relax,taste,nan
918,910,919,578,548,477,1002,1010,1013,607,571,511,1,1,1.07687778770197,group,taste,alarm,relax,taste,alarm,nan
903,919,906,502,593,556,1021,1018,1016,478,601,538,1,1,0.987797933361118,alarm,taste,clean,taste,watch,group,nan
902,902,908,535,487,578,1009,1026,1015,604,562,506,2,2,1.05634452258343,alarm,clean,group,watch,clean,taste,relax
893,900,897,558,522,592,1002,1019,1018,517,476,577,1,2,0.929693004588682,alarm,clean,watch,group,taste,relax,nan
905,904,918,596,556,516,1026,996,1023,484,545,580,1,1,1.02396318545217,taste,alarm,group,alarm,group,watch,nan
907,908,912,513,546,606,998,1025,1016,546,581,515,2,2,0.952124735878884,watch,clean,relax,relax,taste,clean,alarm
903,918,915,585,552,492,1011,1026,998,602,482,523,2,2,0.989131242287915,relax,group,taste,taste,watch,clean,group
903,910,920,515,606,570,1026,1014,1018,533,489,568,2,2,1.06879990229499,watch,clean,alarm,group,taste,watch,relax
901,906,900,585,479,521,1015,1026,1009,605,532,496,2,2,0.93924098374625,clean,group,alarm,alarm,taste,clean,relax
924,923,922,477,607,554,1014,1005,1015,536,606,495,1,2,0.960770324555531,group,clean,taste,watch,clean,alarm,nan
922,925,923,496,592,547,1009,1024,1015,517,592,477,2,2,0.996658913546857,watch,clean,taste,clean,alarm,relax,group
906,914,903,589,478,555,1013,994,1016,501,581,549,2,1,0.967562408774205,alarm,group,taste,alarm,watch,taste,watch
909,897,917,481,581,520,1024,1010,996,546,603,483,1,2,1.05969716590431,watch,alarm,clean,clean,group,alarm,nan
912,914,904,521,480,596,1006,999,1001,479,510,556,2,2,1.09749751503787,taste,clean,relax,watch,clean,relax,alarm
909,906,902,568,532,603,1001,1004,999,490,521,586,1,1,0.931809510944479,clean,taste,alarm,taste,watch,relax,nan
902,926,898,591,481,536,1008,999,1025,591,557,480,1,2,0.947375956645211,relax,clean,watch,alarm,taste,clean,nan
926,902,915,549,498,595,1003,1014,1011,517,571,477,2,1,1.04044732653358,taste,clean,watch,relax,watch,alarm,relax
899,916,911,505,473,556,1009,1016,1016,605,552,508,2,2,0.97509433253951,taste,alarm,group,watch,clean,group,relax
922,911,921,515,476,583,1015,1005,1016,607,483,525,2,1,1.094740980535,group,relax,clean,taste,alarm,watch,watch
894,899,902,531,485,599,1012,995,996,569,536,484,1,1,1.09446111113769,clean,watch,group,clean,watch,relax,nan
904,916,899,517,486,563,1007,995,1001,475,529,583,2,1,1.02873960988428,taste,watch,alarm,alarm,taste,watch,relax
918,894,907,501,603,538,1023,996,1003,493,577,540,1,1,1.07201977537083,group,taste,watch,watch,clean,alarm,nan
914,899,909,591,478,521,1004,996,1024,555,514,593,1,1,0.980376679601617,group,relax,alarm,alarm,group,relax,nan
898,894,919,579,479,513,1007,994,1001,583,487,521,1,2,1.02638615959549,relax,alarm,taste,watch,relax,clean,nan
925,923,897,509,596,554,1011,1026,1002,519,594,488,1,2,1.09704732788297,group,watch,taste,group,taste,clean,nan
911,921,894,540,572,488,996,1018,1016,530,484,588,2,2,1.01189548119746,relax,watch,taste,clean,watch,taste,group
901,897,914,592,544,473,1001,1019,1015,592,503,537,1,1,1.08671838316844,clean,alarm,watch,group,relax,alarm,nan
912,907,894,511,597,473,998,995,1017,559,527,485,2,2,1.04406864120015,clean,taste,relax,group,taste,watch,relax
924,897,897,508,579,540,997,998,1022,482,605,535,1,2,0.996807703362468,watch,clean,alarm,alarm,taste,watch,nan
923,912,916,516,556,473,1024,1002,1018,548,580,508,2,2,1.02780621853625,alarm,group,relax,taste,clean,watch,alarm
909,925,910,534,579,473,995,1024,994,484,571,534,1,1,1.07752737317792,relax,clean,taste,group,relax,watch,nan
908,901,911,482,571,519,1022,1026,1013,547,484,577,2,1,0.939747350019784,alarm,taste,group,group,relax,watch,clean
903,926,920,512,474,598,1011,1027,1025,489,548,596,2,2,0.979073254791042,clean,group,watch,taste,group,relax,watch
895,904,919,527,485,570,997,1005,997,569,483,603,2,2,1.09843506049906,clean,taste,group,watch,alarm,group,clean
918,900,910,477,532,567,1010,1003,1012,484,554,594,1,1,0.98047032338719,alarm,relax,taste,watch,alarm,group,nan
897,915,902,532,595,479,1014,1000,1025,548,599,473,1,1,1.03177129621459,relax,taste,watch,watch,taste,clean,nan
905,925,897,530,567,604,997,1019,1000,600,487,548,1,2,1.0802696246069,watch,group,taste,watch,taste,clean,nan
906,914,923,488,524,576,1027,1018,1011,474,515,590,2,1,1.09907635530358,taste,watch,alarm,watch,clean,relax,clean
923,895,925,490,560,525,1016,1000,998,531,498,598,1,2,1.03063265621894,watch,group,alarm,alarm,watch,taste,nan
893,905,924,488,540,583,1009,1008,1019,540,482,589,2,1,0.921687285571103,relax,watch,taste,group,relax,clean,alarm
921,898,914,579,499,544,1023,995,1004,606,561,479,2,1,0.907222806159071,taste,clean,watch,watch,alarm,taste,group
902,901,896,494,529,562,1002,1016,1000,526,487,602,2,2,1.02361824780939,group,relax,alarm,group,watch,relax,taste
901,894,895,604,510,544,1021,1020,1027,486,600,522,1,2,1.0134288723796,taste,group,clean,clean,watch,group,nan
909,923,899,486,592,543,1005,1023,1018,579,527,490,1,2,1.09239293156107,relax,alarm,taste,watch,alarm,relax,nan
917,919,894,567,521,473,1025,1020,1021,605,563,511,1,1,1.04922109388378,alarm,clean,taste,watch,alarm,group,nan
900,905,917,553,496,598,1002,1008,1017,500,573,604,2,1,1.03250321968702,relax,clean,group,clean,taste,relax,watch
900,921,898,529,480,563,1026,1005,1017,474,582,535,1,1,1.0046626636824,clean,alarm,group,group,alarm,watch,nan
926,918,914,511,545,474,1011,995,1011,522,553,585,2,1,0.95197885629688,watch,clean,alarm,clean,group,alarm,relax
913,914,919,494,585,535,1013,1021,1000,478,601,523,2,1,1.09239875338323,group,relax,taste,watch,group,taste,watch
903,906,912,513,543,585,1027,997,1010,526,560,600,2,2,1.0080408075027,relax,alarm,group,watch,taste,relax,alarm
925,905,905,585,524,474,1020,994,1012,559,482,602,1,1,0.906054032683954,alarm,group,watch,watch,taste,alarm,nan
923,896,920,578,544,493,1004,1003,1021,477,607,550,1,1,1.03926289268223,clean,watch,relax,alarm,group,watch,nan
899,904,903,572,533,497,996,1025,1000,477,512,587,1,2,1.00394323158418,clean,alarm,watch,watch,taste,relax,nan
893,911,903,482,540,606,995,1016,1011,555,492,597,2,2,0.911806111132897,group,clean,alarm,relax,alarm,watch,taste
917,908,919,544,590,498,1021,1007,1021,525,600,555,1,1,1.07800724664564,taste,group,clean,clean,group,alarm,nan
